type,strike,spot,t_days,bid,ask,last,yahoo_iv,bar_iv,bar_delta
call,70.0,190.05,178,119.05,122.1,107.65,0.7231472998046875,,
call,75.0,190.05,178,0.0,0.0,120.42,1.0000000000000003e-05,,
call,80.0,190.05,178,0.0,0.0,115.4,1.0000000000000003e-05,,
call,85.0,190.05,178,0.0,0.0,110.2,1.0000000000000003e-05,,
call,90.0,190.05,178,0.0,0.0,105.12,1.0000000000000003e-05,,
call,95.0,190.05,178,0.0,0.0,100.5,1.0000000000000003e-05,,
call,100.0,190.05,178,89.05,92.05,67.3,0.6344030700683594,,
call,105.0,190.05,178,0.0,0.0,90.55,1.0000000000000003e-05,,
call,110.0,190.05,178,70.25,73.85,79.5,1.0000000000000003e-05,,
call,115.0,190.05,178,73.6,77.15,57.6,0.523442265625,,
call,120.0,190.05,178,69.05,72.05,52.9,0.4810842907714844,,
call,125.0,190.05,178,64.75,67.15,48.1,0.45203184692382814,,
call,130.0,190.05,178,60.1,62.45,42.8,0.4337214831542969,,
call,135.0,190.05,178,55.35,57.45,50.5,0.399969379272461,,
call,140.0,190.05,178,50.7,52.55,50.79,0.3715883154296875,,
call,145.0,190.05,178,46.1,48.0,28.5,0.35736726623535153,,
call,150.0,190.05,178,41.6,43.95,33.13,0.3577945080566406,,
call,155.0,190.05,178,37.35,39.1,37.72,0.32831482238769527,,
call,160.0,190.05,178,33.2,35.45,35.16,0.33222103332519537,,
call,165.0,190.05,178,29.25,30.9,30.05,0.30750204223632804,,
call,170.0,190.05,178,26.15,27.05,26.54,0.29761444580078117,,
call,175.0,190.05,178,22.5,23.5,22.85,0.2902292657470703,,
call,180.0,190.05,178,19.3,20.25,19.94,0.28443098388671867,,
call,185.0,190.05,178,16.6,17.7,17.3,0.28748271118164054,,
call,190.0,190.05,178,14.35,14.7,14.51,0.27677114837646477,,
call,195.0,190.05,178,12.15,12.55,12.35,0.2772899420166015,,
call,200.0,190.05,178,10.15,10.55,10.35,0.2757640783691406,,
call,210.0,190.05,178,6.95,7.55,7.3,0.27851063293457035,,
call,220.0,190.05,178,4.8,5.2,5.0,0.27814442565917963,,
call,230.0,190.05,178,3.2,3.8,3.55,0.28586529571533204,,
call,240.0,190.05,178,2.16,2.65,2.41,0.28864236755371087,,
call,250.0,190.05,178,1.58,1.88,1.65,0.2930978894042968,,
call,260.0,190.05,178,1.04,1.3,1.1,0.2955392712402344,,
call,270.0,190.05,178,0.76,1.06,0.83,0.30811238769531246,,
call,280.0,190.05,178,0.34,0.86,0.66,0.3188544677734374,,
call,290.0,190.05,178,0.26,0.8,0.52,0.3365544860839844,,
call,300.0,190.05,178,0.35,0.5,0.43,0.33020689331054687,,
call,310.0,190.05,178,0.21,0.51,0.36,0.35034829345703117,,
put,70.0,190.05,178,0.0,0.21,0.1,0.5800823242187501,,
put,75.0,190.05,178,0.0,0.27,0.08,0.559574716796875,,
put,80.0,190.05,178,0.05,0.22,0.1,0.5224657128906249,,
put,85.0,190.05,178,0.05,0.25,0.1,0.5302781347656251,,
put,90.0,190.05,178,0.1,0.29,0.19,0.5063525927734375,,
put,95.0,190.05,178,0.13,0.36,0.35,0.4887746435546876,,
put,100.0,190.05,178,0.14,0.39,0.29,0.46191944335937507,,
put,105.0,190.05,178,0.13,0.5,0.22,0.4484918432617187,,
put,110.0,190.05,178,0.16,0.45,0.35,0.4101621484375,,
put,115.0,190.05,178,0.01,0.73,0.37,0.41528905029296875,,
put,120.0,190.05,178,0.26,1.02,0.55,0.41199318481445313,,
put,125.0,190.05,178,0.39,0.76,0.56,0.35864899169921877,,
put,130.0,190.05,178,0.57,0.87,0.72,0.33960621337890623,,
put,135.0,190.05,178,0.9,1.16,1.04,0.3320379296875,,
put,140.0,190.05,178,1.11,1.43,1.25,0.319220675048828,,
put,145.0,190.05,178,1.5,1.89,1.89,0.31287308227539057,,
put,150.0,190.05,178,2.05,2.56,2.26,0.31024859680175776,,
put,155.0,190.05,178,2.76,3.2,2.9,0.3011544494628906,,
put,160.0,190.05,178,3.65,4.1,3.75,0.295905478515625,,
put,165.0,190.05,178,4.55,5.1,4.85,0.28852029846191396,,
put,170.0,190.05,178,5.9,6.4,6.25,0.28385115570068353,,
put,175.0,190.05,178,7.5,8.0,7.9,0.2807383938598632,,
put,180.0,190.05,178,9.4,9.8,9.75,0.2765575274658203,,
put,185.0,190.05,178,11.65,12.0,11.85,0.27509269836425776,,
put,190.0,190.05,178,14.15,14.5,14.35,0.27411614562988285,,
put,195.0,190.05,178,16.75,17.7,17.1,0.28125718749999995,,
put,200.0,190.05,178,19.8,20.5,21.2,0.2759471820068359,,
put,210.0,190.05,178,26.4,27.5,26.75,0.2786937365722656,,
put,220.0,190.05,178,33.6,35.85,34.45,0.29444064941406245,,
put,230.0,190.05,178,49.8,52.5,45.25,0.48328153442382815,,
put,240.0,190.05,178,59.0,61.9,53.55,0.5158434646606446,,
put,250.0,190.05,178,61.05,63.45,67.95,0.3498600170898437,,
put,260.0,190.05,178,70.1,72.6,77.3,0.3529117443847656,,
put,270.0,190.05,178,89.45,91.95,83.45,0.6037026934814456,,
put,280.0,190.05,178,89.35,92.05,91.05,0.386175571899414,,
put,290.0,190.05,178,98.75,102.8,107.0,0.4425104577636719,,
put,300.0,190.05,178,109.1,111.9,110.8,0.4274959594726563,,
put,310.0,190.05,178,119.0,122.15,120.7,0.46191944335937507,,
