expiry,t_days,strike,moneyness,side,mid,iv
2026-07-24,3,190.0,0.9997,put,2.005,0.296163
2026-07-31,10,192.5,1.0129,call,3.375,0.355065
2026-07-31,10,187.5,0.9866,put,3.115,0.343915
2026-07-31,10,190.0,0.9997,put,4.275,0.344395
2026-08-07,17,190.0,0.9997,put,5.25,0.324771
2026-08-14,24,190.0,0.9997,put,5.55,0.28961
2026-08-21,31,190.0,0.9997,put,7.1,0.325992
2026-08-28,38,185.0,0.9734,put,5.375,0.319524
2026-08-28,38,190.0,0.9997,put,7.8,0.323901
2026-09-18,59,195.0,1.026,call,6.125,0.2698
2026-09-18,59,185.0,0.9734,put,6.425,0.29411
2026-09-18,59,190.0,0.9997,put,8.775,0.293899
2026-10-16,87,195.0,1.026,call,8.0,0.273271
2026-10-16,87,185.0,0.9734,put,7.775,0.282122
2026-10-16,87,190.0,0.9997,put,10.175,0.282255
2026-12-18,150,195.0,1.026,call,11.125,0.272882
2026-12-18,150,185.0,0.9734,put,11.1,0.289738
2026-12-18,150,190.0,0.9997,put,13.3,0.284105
2027-01-15,178,195.0,1.026,call,12.35,0.27394
2027-01-15,178,200.0,1.0524,call,10.35,0.272143
2027-01-15,178,185.0,0.9734,put,11.825,0.281806
2027-01-15,178,190.0,0.9997,put,14.325,0.282279
2027-03-19,241,195.0,1.026,call,14.85,0.27688
2027-03-19,241,200.0,1.0524,call,12.75,0.273917
2027-03-19,241,180.0,0.9471,put,11.85,0.284636
2027-03-19,241,185.0,0.9734,put,14.0,0.282411
2027-03-19,241,190.0,0.9997,put,16.35,0.279843
2027-06-17,331,195.0,1.026,call,17.8,0.278713
2027-06-17,331,200.0,1.0524,call,15.325,0.27074
2027-06-17,331,180.0,0.9471,put,14.525,0.287268
2027-06-17,331,185.0,0.9734,put,16.6,0.283311
2027-06-17,331,190.0,0.9997,put,19.175,0.284016
