type,strike,spot,t_days,bid,ask,last,yahoo_iv,bar_iv,bar_delta
call,5.0,97.06,150,0.0,0.0,86.07,1.0000000000000003e-05,,
call,10.0,97.06,150,0.0,0.0,124.14,1.0000000000000003e-05,,
call,13.0,97.06,150,0.0,0.0,107.7,1.0000000000000003e-05,,
call,15.0,97.06,150,0.0,0.0,78.68,1.0000000000000003e-05,,
call,18.0,97.06,150,0.0,0.0,81.23,1.0000000000000003e-05,,
call,20.0,97.06,150,0.0,0.0,73.85,1.0000000000000003e-05,,
call,23.0,97.06,150,0.0,0.0,72.25,1.0000000000000003e-05,,
call,25.0,97.06,150,0.0,0.0,72.15,1.0000000000000003e-05,,
call,28.0,97.06,150,0.0,0.0,69.25,1.0000000000000003e-05,,
call,30.0,97.06,150,0.0,0.0,68.97,1.0000000000000003e-05,,
call,33.0,97.06,150,0.0,0.0,66.72,1.0000000000000003e-05,,
call,35.0,97.06,150,0.0,0.0,62.12,1.0000000000000003e-05,,
call,38.0,97.06,150,0.0,0.0,58.5,1.0000000000000003e-05,,
call,40.0,97.06,150,0.0,0.0,60.55,1.0000000000000003e-05,,
call,43.0,97.06,150,0.0,0.0,58.26,1.0000000000000003e-05,,
call,45.0,97.06,150,0.0,0.0,56.54,1.0000000000000003e-05,,
call,47.0,97.06,150,0.0,0.0,54.0,1.0000000000000003e-05,,
call,50.0,97.06,150,0.0,0.0,52.45,1.0000000000000003e-05,,
call,52.5,97.06,150,0.0,0.0,50.12,1.0000000000000003e-05,,
call,55.0,97.06,150,0.0,0.0,46.8,1.0000000000000003e-05,,
call,57.5,97.06,150,0.0,0.0,44.09,1.0000000000000003e-05,,
call,60.0,97.06,150,0.0,0.0,43.65,1.0000000000000003e-05,,
call,62.5,97.06,150,0.0,0.0,41.91,1.0000000000000003e-05,,
call,65.0,97.06,150,0.0,0.0,40.07,1.0000000000000003e-05,,
call,67.5,97.06,150,0.0,0.0,36.72,1.0000000000000003e-05,,
call,70.0,97.06,150,0.0,0.0,36.96,1.0000000000000003e-05,,
call,72.5,97.06,150,0.0,0.0,33.95,1.0000000000000003e-05,,
