expiry,t_days,T_years,atm_strike,atm_iv,rate,forward,delta,gamma,theta_day,vega_pt,rho_pct
2026-07-22,1,0.00274,97.0,1.514926,0.043,97.0714,0.51951,0.051773,-1.53894,0.02024,0.0013
2026-07-24,3,0.00822,97.0,1.882224,0.043,97.0943,0.53626,0.023988,-1.10204,0.03496,0.00373
2026-07-27,6,0.01644,97.0,1.318136,0.043,97.1286,0.53679,0.024217,-0.54837,0.04943,0.00748
2026-07-29,8,0.02192,97.0,1.256406,0.043,97.1515,0.54038,0.021984,-0.45317,0.05703,0.0099
2026-07-31,10,0.0274,97.0,1.252489,0.043,97.1744,0.54472,0.019702,-0.40412,0.06369,0.01227
2026-08-07,17,0.04658,97.0,1.136954,0.043,97.2546,0.55305,0.016603,-0.28216,0.08283,0.02053
2026-08-14,24,0.06575,97.0,1.027959,0.043,97.3348,0.55759,0.01543,-0.21558,0.09825,0.0288
2026-08-21,31,0.08493,97.5,1.023726,0.043,97.4151,0.55814,0.01363,-0.18938,0.11165,0.03627
2026-08-28,38,0.10411,97.0,1.013146,0.043,97.4955,0.57105,0.012373,-0.16893,0.12295,0.04436
2026-09-18,59,0.16164,97.5,0.962013,0.043,97.737,0.57913,0.010417,-0.12927,0.15261,0.06664
2026-10-16,87,0.23836,97.5,0.939079,0.043,98.0599,0.5955,0.008707,-0.1038,0.1836,0.09528
2026-11-20,122,0.33425,97.5,0.929395,0.043,98.4651,0.61294,0.007341,-0.08637,0.21483,0.12887
2026-12-18,150,0.41096,100.0,0.885031,0.043,98.7904,0.60343,0.007,-0.07515,0.23984,0.15348
2027-01-15,178,0.48767,100.0,0.875333,0.043,99.1168,0.61452,0.006445,-0.06805,0.25918,0.17881
2027-02-19,213,0.58356,100.0,0.88961,0.043,99.5264,0.63036,0.005722,-0.06263,0.27986,0.20737
2027-03-19,241,0.66027,100.0,0.844732,0.043,99.8552,0.63348,0.00565,-0.0562,0.29686,0.23421
2027-06-17,331,0.90685,100.0,0.861104,0.043,100.9196,0.66319,0.004587,-0.0478,0.33744,0.3009
