type,strike,spot,t_days,bid,ask,last,yahoo_iv,bar_iv,bar_delta
call,0.5,206.71,150,205.45,205.7,202.59,1.0000000000000003e-05,,
call,1.0,206.71,150,202.35,208.0,210.39,0.0,,
call,1.5,206.71,150,201.85,207.5,195.8,0.0,,
call,2.0,206.71,150,0.0,0.0,210.15,1.0000000000000003e-05,,
call,2.5,206.71,150,200.85,206.55,194.38,8.000005,,
call,3.0,206.71,150,0.0,0.0,214.55,1.0000000000000003e-05,,
call,3.5,206.71,150,0.0,0.0,202.59,1.0000000000000003e-05,,
call,4.0,206.71,150,199.25,205.0,205.24,5.1718785351562495,,
call,4.5,206.71,150,0.0,0.0,220.5,1.0000000000000003e-05,,
call,5.0,206.71,150,198.35,204.05,199.14,4.62500421875,,
call,6.0,206.71,150,203.2,209.9,194.54,8.59375462890625,,
call,7.0,206.71,150,202.25,208.9,203.1,6.427736340332031,,
call,8.0,206.71,150,0.0,0.0,205.92,1.0000000000000003e-05,,
call,9.0,206.71,150,0.0,0.0,205.3,1.0000000000000003e-05,,
call,10.0,206.71,150,193.4,199.15,184.7,3.3759781225585934,,
call,11.0,206.71,150,0.0,0.0,203.35,1.0000000000000003e-05,,
call,12.0,206.71,150,191.45,197.2,193.35,3.1225607873535153,,
call,13.0,206.71,150,192.95,198.8,187.1,2.89844025390625,,
call,14.0,206.71,150,171.1,177.5,168.55,1.0000000000000003e-05,,
call,15.0,206.71,150,188.5,194.25,185.0,2.8291044897460935,,
call,16.0,206.71,150,187.5,193.3,174.85,2.758303885498047,,
call,17.0,206.71,150,186.4,192.25,178.01,2.6655306799316407,,
call,18.0,206.71,150,185.55,191.3,176.55,2.6064487963867187,,
call,19.0,206.71,150,184.55,189.15,173.0,2.2128950927734365,,
call,20.0,206.71,150,183.7,189.35,192.43,2.4873084692382816,,
call,21.0,206.71,150,181.65,188.2,186.11,2.3920938635253903,,
call,22.0,206.71,150,180.55,187.5,170.89,2.405277424316406,,
call,23.0,206.71,150,180.65,186.4,176.5,2.329105739746093,,
call,24.0,206.71,150,0.0,0.0,198.0,1.0000000000000003e-05,,
call,25.0,206.71,150,178.9,183.55,182.07,2.0405322424316403,,
call,26.0,206.71,150,177.7,183.45,176.77,2.1953170117187497,,
call,27.0,206.71,150,176.75,182.55,181.0,2.1711471502685544,,
call,28.0,206.71,150,176.0,180.55,178.57,1.9233402270507813,,
call,29.0,206.71,150,174.85,180.3,181.59,2.041997082519531,,
call,30.0,206.71,150,173.75,178.65,175.4,1.875000625,,
call,31.0,206.71,150,172.75,178.5,169.69,2.004399520263672,,
call,32.0,206.71,150,171.8,176.9,160.0,1.859375703125,,
call,33.0,206.71,150,170.8,176.35,175.07,1.9089360021972657,,
call,34.0,206.71,150,0.0,0.0,183.67,1.0000000000000003e-05,,
call,35.0,206.71,150,168.8,173.75,161.64,1.7387708374023436,,
call,36.0,206.71,150,0.0,0.0,173.69,1.0000000000000003e-05,,
call,37.0,206.71,150,169.45,175.55,165.33,1.8100595434570312,,
call,38.0,206.71,150,165.95,171.0,174.0,1.7004409509277343,,
call,39.0,206.71,150,166.45,169.65,166.65,1.1865275048828123,,
call,40.0,206.71,150,163.95,169.25,171.67,1.6884781201171877,,
call,41.0,206.71,150,168.9,175.5,161.06,2.1496628289794915,,
call,42.0,206.71,150,167.9,174.55,163.9,2.119145327148437,,
call,43.0,206.71,150,160.9,166.7,166.56,0.937500625,,
call,44.0,206.71,150,160.0,165.75,166.02,0.9960937890625,,
call,45.0,206.71,150,158.95,164.75,166.53,0.9609378906249999,,
call,46.0,206.71,150,158.05,163.15,157.97,1.531008204345703,,
call,47.0,206.71,150,157.05,161.6,156.43,1.4262723999023437,,
call,48.0,206.71,150,156.05,159.7,158.0,1.237796779785156,,
call,49.0,206.71,150,155.2,160.8,158.0,1.0029346728515625,,
call,50.0,206.71,150,154.25,158.45,156.95,1.3444856994628904,,
call,51.0,206.71,150,153.15,157.75,157.01,1.3720734521484375,,
call,52.0,206.71,150,152.2,157.95,152.29,0.9951172363281251,,
call,53.0,206.71,150,151.2,156.95,143.81,0.98242205078125,,
call,54.0,206.71,150,0.0,0.0,165.29,1.0000000000000003e-05,,
call,55.0,206.71,150,149.2,154.95,157.19,0.956055126953125,,
call,56.0,206.71,150,148.25,154.05,147.93,0.9707034179687499,,
call,57.0,206.71,150,147.3,153.05,151.1,0.9663089306640625,,
call,58.0,206.71,150,146.25,152.0,149.6,0.937500625,,
call,59.0,206.71,150,145.2,149.7,141.0,1.2287636218261717,,
call,60.0,206.71,150,143.25,149.15,146.39,1.2697790417480466,,
call,61.0,206.71,150,0.0,0.0,154.0,1.0000000000000003e-05,,
call,62.0,206.71,150,142.45,148.05,138.55,0.92773509765625,,
call,63.0,206.71,150,147.35,153.95,150.0,1.6232928991699218,,
call,64.0,206.71,150,140.6,144.95,142.46,0.6757844921875001,,
call,65.0,206.71,150,139.5,145.15,142.45,0.91211025390625,,
call,66.0,206.71,150,138.35,144.15,128.0,0.8818371191406249,,
call,67.0,206.71,150,137.45,143.2,126.5,0.8896495410156249,,
call,68.0,206.71,150,136.5,142.25,126.5,0.8903819555664061,,
call,69.0,206.71,150,135.75,140.55,124.73,0.8227556787109375,,
call,70.0,206.71,150,134.65,139.25,134.5,0.743166630859375,,
call,71.0,206.71,150,133.55,139.35,122.0,0.8737805590820311,,
call,72.0,206.71,150,0.0,0.0,150.89,1.0000000000000003e-05,,
call,73.0,206.71,150,0.0,0.0,144.6,1.0000000000000003e-05,,
call,74.0,206.71,150,130.7,136.2,129.61,0.8422867333984375,,
call,75.0,206.71,150,130.0,134.0,125.78,0.7172879833984375,,
call,76.0,206.71,150,128.75,134.35,132.65,0.8405777661132812,,
call,77.0,206.71,150,127.85,132.35,119.12,0.7314479980468749,,
call,78.0,206.71,150,126.85,131.5,133.62,0.7426783544921874,,
call,79.0,206.71,150,125.9,130.35,123.84,0.72070591796875,,
call,80.0,206.71,150,125.2,129.05,125.57,0.711916943359375,,
call,81.0,206.71,150,124.0,128.35,120.23,0.7158231542968749,,
call,82.0,206.71,150,122.8,128.55,122.06,0.8017597949218749,,
call,83.0,206.71,150,121.8,127.55,115.84,0.7922384057617188,,
call,84.0,206.71,150,0.0,0.0,147.67,1.0000000000000003e-05,,
call,85.0,206.71,150,120.9,123.9,120.3,0.7282742016601562,,
call,86.0,206.71,150,119.35,123.4,127.52,0.7148466015625,,
call,87.0,206.71,150,117.95,122.15,118.65,0.6337927246093751,,
call,88.0,206.71,150,117.3,122.0,107.2,0.7424342163085937,,
call,89.0,206.71,150,116.35,120.5,115.05,0.6982452050781252,,
call,90.0,206.71,150,115.8,119.15,117.53,0.6980010668945313,,
call,91.0,206.71,150,115.1,118.55,104.92,0.7399928344726561,,
call,92.0,206.71,150,113.2,117.75,101.95,0.6813996704101564,,
call,93.0,206.71,150,111.4,117.8,105.5,0.6918976123046876,,
call,94.0,206.71,150,111.25,116.9,109.6,0.743166630859375,,
call,95.0,206.71,150,111.35,113.85,112.5,0.6755403540039064,,
call,96.0,206.71,150,115.2,121.8,110.0,1.1518597094726561,,
call,97.0,206.71,150,108.4,113.1,105.0,0.6789582885742189,,
call,98.0,206.71,150,107.4,113.1,113.85,0.726565234375,,
call,99.0,206.71,150,107.6,110.1,109.02,0.6748079394531252,,
call,100.0,206.71,150,106.8,109.7,108.25,0.7094755615234375,,
call,101.0,206.71,150,105.35,108.55,105.09,0.6699251757812501,,
call,102.0,206.71,150,103.65,107.95,106.05,0.6449010119628906,,
call,103.0,206.71,150,102.95,106.8,93.9,0.6455113574218749,,
call,104.0,206.71,150,102.8,106.15,94.42,0.6965362377929689,,
call,105.0,206.71,150,101.75,104.9,103.6,0.6748079394531252,,
call,106.0,206.71,150,100.6,104.1,101.13,0.6688265539550782,,
call,107.0,206.71,150,99.15,103.1,100.17,0.6398961791992188,,
call,108.0,206.71,150,98.2,102.15,99.01,0.6368444519042968,,
call,109.0,206.71,150,97.25,101.15,98.34,0.6313513427734375,,
call,110.0,206.71,150,97.15,100.0,97.32,0.6556430920410157,,
call,111.0,206.71,150,96.2,99.2,96.67,0.6574741284179688,,
call,112.0,206.71,150,94.45,98.15,98.0,0.6169471899414063,,
call,113.0,206.71,150,93.5,97.3,94.2,0.6176796044921876,,
call,114.0,206.71,150,92.6,96.3,94.91,0.6141396008300781,,
call,115.0,206.71,150,91.7,95.35,92.35,0.6124306335449221,,
call,116.0,206.71,150,91.15,93.75,91.5,0.5988809643554689,,
call,117.0,206.71,150,89.8,93.4,91.45,0.6029092443847659,,
call,118.0,206.71,150,88.9,92.0,90.3,0.5839885351562499,,
call,119.0,206.71,150,88.0,91.5,88.25,0.5986368261718751,,
call,120.0,206.71,150,87.85,90.1,89.3,0.6064492480468751,,
call,121.0,206.71,150,86.15,89.4,86.89,0.5853312951660157,,
call,122.0,206.71,150,85.95,88.3,88.8,0.6008340698242189,,
call,123.0,206.71,150,85.05,87.6,85.59,0.6055947644042969,,
call,124.0,206.71,150,83.5,86.65,84.08,0.5825237060546875,,
call,125.0,206.71,150,83.7,85.1,84.6,0.5946085461425781,,
call,126.0,206.71,150,82.35,84.65,83.25,0.5927775097656252,,
call,127.0,206.71,150,81.45,83.5,82.32,0.5837443969726561,,
call,128.0,206.71,150,80.5,82.5,80.11,0.5775799078369142,,
call,129.0,206.71,150,79.6,81.9,77.99,0.5836223278808592,,
call,130.0,206.71,150,78.9,80.35,80.1,0.569340244140625,,
call,132.0,206.71,150,76.9,79.05,73.0,0.5725140405273439,,
call,134.0,206.71,150,75.1,76.8,75.8,0.5561567822265626,,
call,135.0,206.71,150,74.2,76.25,74.5,0.5620160986328125,,
call,136.0,206.71,150,73.3,75.3,71.35,0.5579878186035157,,
call,138.0,206.71,150,71.5,73.7,75.23,0.5565229895019532,,
call,140.0,206.71,150,70.05,71.35,71.09,0.5457809094238282,,
call,142.0,206.71,150,68.0,70.3,74.21,0.5494429821777345,,
call,144.0,206.71,150,67.05,68.3,71.95,0.5547529876708985,,
call,145.0,206.71,150,66.2,67.55,66.2,0.5545698840332032,,
call,146.0,206.71,150,65.35,66.25,69.76,0.5440109075927735,,
call,148.0,206.71,150,63.6,64.25,60.4,0.5332688275146484,,
call,150.0,206.71,150,61.9,62.65,62.25,0.5303391693115236,,
call,152.0,206.71,150,60.5,60.95,61.74,0.5302171002197267,,
call,154.0,206.71,150,58.6,59.4,60.08,0.5237474383544922,,
call,155.0,206.71,150,58.0,58.6,55.14,0.5255174401855469,,
call,156.0,206.71,150,57.2,57.65,51.32,0.5216112292480468,,
call,158.0,206.71,150,55.55,56.15,52.88,0.5189257092285156,,
call,160.0,206.71,150,54.0,54.35,54.37,0.5127612200927734,,
call,162.0,206.71,150,52.4,53.0,52.1,0.5119677709960937,,
call,164.0,206.71,150,50.85,51.45,50.77,0.5084277673339843,,
call,165.0,206.71,150,50.05,50.55,50.46,0.504460521850586,,
call,166.0,206.71,150,49.3,49.7,54.08,0.5017750018310547,,
call,167.0,206.71,150,48.5,48.9,46.3,0.5042774182128906,,
call,168.0,206.71,150,47.75,48.25,47.0,0.5052539709472657,,
call,169.0,206.71,150,47.0,47.4,45.27,0.5008594836425782,,
call,170.0,206.71,150,46.3,46.65,46.34,0.49896741271972656,,
call,171.0,206.71,150,45.55,46.1,49.53,0.5019581054687501,,
call,172.0,206.71,150,44.8,45.25,47.0,0.4973194799804688,,
call,173.0,206.71,150,44.05,44.5,46.42,0.49506120178222657,,
call,174.0,206.71,150,43.4,43.75,42.71,0.4927113717651368,,
call,175.0,206.71,150,42.7,43.05,42.22,0.4914601635742188,,
call,176.0,206.71,150,42.0,42.35,41.95,0.49005636901855476,,
call,177.0,206.71,150,41.35,41.65,41.5,0.4885305053710938,,
call,178.0,206.71,150,40.55,41.05,42.0,0.4891713681030274,,
call,179.0,206.71,150,39.85,40.25,40.06,0.48511257080078124,,
call,180.0,206.71,150,39.25,39.65,39.5,0.4854787780761719,,
call,181.0,206.71,150,38.45,39.2,37.6,0.4890492990112305,,
call,182.0,206.71,150,37.9,38.35,33.35,0.48352567260742196,,
call,183.0,206.71,150,37.3,37.6,38.35,0.48016877258300783,,
call,184.0,206.71,150,36.55,36.95,37.8,0.47891756439208977,,
call,185.0,206.71,150,35.95,36.25,35.5,0.4764456652832031,,
call,186.0,206.71,150,35.25,35.65,34.73,0.47601842346191403,,
call,187.0,206.71,150,34.75,35.0,32.92,0.47437049072265625,,
call,188.0,206.71,150,34.1,34.45,33.95,0.4747061807250976,,
call,189.0,206.71,150,33.5,33.75,33.62,0.4718070397949219,,
call,190.0,206.71,150,32.85,33.15,33.09,0.47083048706054687,,
call,191.0,206.71,150,32.2,32.65,36.43,0.4718070397949219,,
call,192.0,206.71,150,31.65,31.95,32.0,0.46854169158935544,,
call,193.0,206.71,150,31.1,31.35,31.8,0.4671989315795898,,
call,194.0,206.71,150,30.5,30.75,30.7,0.4657646197509766,,
call,195.0,206.71,150,29.9,30.2,29.26,0.4651847915649414,,
call,200.0,206.71,150,27.1,27.25,27.35,0.4565178860473633,,
call,205.0,206.71,150,24.6,24.8,24.7,0.45456478057861327,,
call,210.0,206.71,150,22.15,22.3,22.19,0.4485833950805663,,
call,212.0,206.71,150,21.2,21.55,21.25,0.4501092587280273,,
call,213.0,206.71,150,20.75,21.0,20.5,0.4473627041625976,,
call,214.0,206.71,150,20.3,20.7,19.7,0.44922425781249997,,
call,215.0,206.71,150,19.95,20.15,20.0,0.4462640823364258,,
call,216.0,206.71,150,19.45,19.7,19.55,0.44507390869140623,,
call,217.0,206.71,150,19.05,19.3,18.54,0.44470770141601557,,
call,218.0,206.71,150,18.75,19.0,18.95,0.44611149597167965,,
