type,strike,spot,t_days,bid,ask,last,yahoo_iv,bar_iv,bar_delta
call,25.0,119.85,151,91.2,98.9,155.8,1.123051259765625,,
call,45.0,119.85,151,74.3,79.5,105.45,1.1235395385742186,,
call,50.0,119.85,151,69.8,74.9,87.05,1.0721481939697268,,
call,60.0,119.85,151,59.9,64.2,62.66,0.8483901879882811,,
call,75.0,119.85,151,49.2,53.7,51.36,0.916138533935547,,
call,80.0,119.85,151,43.8,48.3,47.95,0.8058491094970703,,
call,85.0,119.85,151,42.0,44.6,44.0,0.8374039697265624,,
call,90.0,119.85,151,38.6,41.1,39.7,0.8225115405273438,,
call,95.0,119.85,151,34.2,38.8,40.73,0.8056049713134765,,
call,100.0,119.85,151,33.0,34.4,34.2,0.804689453125,,
call,105.0,119.85,151,30.1,31.7,31.83,0.7968159967041015,,
call,110.0,119.85,151,27.7,28.9,28.8,0.7901632312011719,,
call,115.0,119.85,151,25.4,26.8,27.5,0.7916280603027344,,
call,120.0,119.85,151,23.3,24.6,24.3,0.789064609375,,
call,125.0,119.85,151,21.6,22.6,22.0,0.7912618530273439,,
call,130.0,119.85,151,19.8,20.7,20.5,0.7885763330078125,,
call,135.0,119.85,151,18.1,18.5,18.7,0.7781394256591796,,
call,140.0,119.85,151,16.5,16.9,16.9,0.7749045947265626,,
call,145.0,119.85,151,15.1,15.4,15.7,0.7725242474365235,,
call,150.0,119.85,151,13.8,14.1,14.1,0.7713035565185546,,
call,155.0,119.85,151,12.6,12.9,13.6,0.7698997619628907,,
call,160.0,119.85,151,11.6,11.9,11.6,0.7719749365234375,,
call,165.0,119.85,151,10.6,10.9,11.05,0.7710594183349608,,
call,170.0,119.85,151,9.8,10.0,10.0,0.772463212890625,,
call,175.0,119.85,151,8.9,9.2,9.2,0.7712425219726562,,
call,180.0,119.85,151,8.2,8.5,8.41,0.7730125238037109,,
call,185.0,119.85,151,7.6,7.8,8.34,0.7744163183593751,,
call,190.0,119.85,151,7.0,7.3,7.24,0.7775901147460937,,
call,195.0,119.85,151,6.4,6.7,6.6,0.7766745965576172,,
call,200.0,119.85,151,6.0,6.3,6.18,0.7822897747802735,,
call,205.0,119.85,151,5.6,5.8,5.95,0.7840597766113282,,
call,210.0,119.85,151,5.2,5.4,5.48,0.7864401239013672,,
call,215.0,119.85,151,4.8,5.1,5.21,0.7896139202880859,,
call,220.0,119.85,151,4.5,4.8,5.0,0.793825303955078,,
call,225.0,119.85,151,4.2,4.5,4.39,0.7967549621582031,,
call,230.0,119.85,151,4.0,4.2,4.12,0.8011494494628906,,
call,235.0,119.85,151,3.7,4.0,4.54,0.8043232458496092,,
call,240.0,119.85,151,3.5,3.8,3.77,0.8092060095214844,,
call,245.0,119.85,151,3.3,3.6,3.71,0.8132342895507811,,
call,250.0,119.85,151,3.2,3.4,3.46,0.8193377441406249,,
call,255.0,119.85,151,3.0,3.2,4.0,0.8215349877929687,,
call,260.0,119.85,151,2.85,3.1,3.03,0.8276384423828124,,
call,265.0,119.85,151,2.7,2.9,2.86,0.8297136169433592,,
call,270.0,119.85,151,2.55,2.75,2.85,0.8326432751464843,,
call,275.0,119.85,151,2.45,2.65,2.94,0.8385025915527342,,
call,280.0,119.85,151,2.3,2.55,2.75,0.84179845703125,,
call,285.0,119.85,151,2.2,2.45,2.65,0.8464370825195311,,
call,290.0,119.85,151,2.1,2.35,2.4,0.850587431640625,,
call,295.0,119.85,151,2.0,2.25,2.6,0.8540053662109376,,
