expiry,t_days,T_years,atm_strike,atm_iv,rate,forward,delta,gamma,theta_day,vega_pt,rho_pct
2026-07-24,3,0.00822,124.0,0.94888,0.043,123.5837,0.50156,0.037538,-0.71345,0.04468,0.00476
2026-07-31,10,0.0274,124.0,0.846175,0.043,123.6856,0.5207,0.023025,-0.35146,0.08147,0.01577
2026-08-14,24,0.06575,125.0,1.002185,0.043,123.8898,0.53736,0.012511,-0.2691,0.12583,0.03567
2026-08-21,31,0.08493,125.0,0.954061,0.043,123.992,0.54376,0.011544,-0.22605,0.14277,0.04583
2026-08-28,38,0.10411,125.0,0.919103,0.043,124.0943,0.54925,0.010806,-0.19717,0.15781,0.05589
2026-09-18,59,0.16164,125.0,0.861998,0.043,124.4017,0.56334,0.0092,-0.14915,0.19565,0.08544
2026-10-16,87,0.23836,125.0,0.818235,0.043,124.8127,0.57769,0.00793,-0.11711,0.23604,0.12368
2026-11-20,122,0.33425,125.0,0.793985,0.043,125.3284,0.59299,0.006843,-0.09616,0.27716,0.16946
2026-12-18,150,0.41096,125.0,0.770575,0.043,125.7425,0.60218,0.006322,-0.08437,0.30553,0.20547
2027-01-15,178,0.48767,125.0,0.754614,0.043,126.158,0.61064,0.005891,-0.07594,0.33085,0.24047
2027-02-19,213,0.58356,125.0,0.742829,0.043,126.6792,0.62067,0.005428,-0.06833,0.35914,0.28267
2027-03-19,241,0.66027,125.0,0.730461,0.043,127.0978,0.62734,0.005161,-0.06321,0.3799,0.31614
2027-06-17,331,0.90685,130.0,0.713517,0.043,128.4525,0.62632,0.004512,-0.05334,0.44561,0.40864
