type,strike,spot,t_days,bid,ask,last,yahoo_iv,bar_iv,bar_delta
call,150.0,742.09,151,591.67,594.79,596.0,1.1313519995117187,,
call,200.0,742.09,151,542.62,545.75,548.89,1.0217334069824218,,
call,210.0,742.09,151,532.82,535.94,538.28,0.9996337927246093,,
call,220.0,742.09,151,519.23,522.72,515.9,0.8010273803710937,,
call,230.0,742.09,151,523.56,526.89,509.19,1.3333773565673825,,
call,240.0,742.09,151,513.64,517.27,501.9,1.294467639007568,,
call,245.0,742.09,151,424.91,428.79,422.0,1.0000000000000003e-05,,
call,250.0,742.09,151,493.63,496.62,504.46,0.9113778393554688,,
call,255.0,742.09,151,500.96,504.62,477.19,1.2851598242187499,,
call,260.0,742.09,151,483.84,486.82,490.04,0.8911143701171874,,
call,265.0,742.09,151,430.6,434.44,427.58,1.0000000000000003e-05,,
call,270.0,742.09,151,486.36,489.87,486.29,1.2301369059753418,,
call,275.0,742.09,151,465.69,469.17,452.18,0.6123085644531252,,
call,280.0,742.09,151,460.84,464.31,435.2,0.6279334082031252,,
call,285.0,742.09,151,385.58,389.46,353.65,1.0000000000000003e-05,,
call,290.0,742.09,151,0.0,0.0,369.0,1.0000000000000003e-05,,
call,295.0,742.09,151,393.0,397.73,404.0,1.0000000000000003e-05,,
call,300.0,742.09,151,444.67,447.67,453.56,0.8131122204589842,,
call,305.0,742.09,151,0.0,0.0,437.57,1.0000000000000003e-05,,
call,310.0,742.09,151,0.0,0.0,446.05,1.0000000000000003e-05,,
call,315.0,742.09,151,442.32,445.83,442.53,1.081791700439453,,
call,320.0,742.09,151,425.11,428.11,430.79,0.7761252856445313,,
call,325.0,742.09,151,432.54,436.05,411.16,1.0518235885620117,,
call,330.0,742.09,151,0.0,0.0,415.5,1.0000000000000003e-05,,
call,335.0,742.09,151,422.77,426.28,414.01,1.0228930691528322,,
call,340.0,742.09,151,0.0,0.0,308.13,1.0000000000000003e-05,,
call,345.0,742.09,151,0.0,0.0,416.84,1.0000000000000003e-05,,
call,350.0,742.09,151,408.1,411.62,411.21,0.9808046353149414,,
call,355.0,742.09,151,390.92,393.92,403.85,0.714419359741211,,
call,360.0,742.09,151,386.05,389.04,396.38,0.7059965924072267,,
call,365.0,742.09,151,381.16,384.17,388.99,0.6974517559814455,,
call,370.0,742.09,151,376.29,379.29,388.0,0.6891205404663087,,
call,375.0,742.09,151,371.4,374.41,384.83,0.6805451867675782,,
call,380.0,742.09,151,366.5,369.53,378.1,0.6718782812500002,,
call,385.0,742.09,151,372.67,376.16,363.88,0.8704236590576171,,
call,390.0,742.09,151,356.78,359.78,367.63,0.6557651611328126,,
call,395.0,742.09,151,0.0,0.0,360.82,1.0000000000000003e-05,,
call,400.0,742.09,151,347.03,350.04,354.92,0.6394689373779296,,
call,405.0,742.09,151,0.0,0.0,351.33,1.0000000000000003e-05,,
call,410.0,742.09,151,337.29,340.3,348.34,0.6233863345336915,,
