expiry,t_days,T_years,atm_strike,atm_iv,rate,forward,delta,gamma,theta_day,vega_pt,rho_pct
2026-07-22,2,0.00548,742.0,0.160879,0.043,742.2237,0.51244,0.045118,-0.91473,0.21903,0.02064
2026-07-23,3,0.00822,742.0,0.161444,0.043,742.2905,0.51354,0.036705,-0.75549,0.26822,0.03095
2026-07-24,4,0.01096,742.0,0.16019,0.043,742.3573,0.51474,0.032032,-0.65386,0.30967,0.0413
2026-07-27,7,0.01918,743.0,0.13683,0.043,742.5578,0.49115,0.028358,-0.43271,0.40981,0.06887
2026-07-28,8,0.02192,743.0,0.138683,0.043,742.6247,0.49417,0.026175,-0.41209,0.43815,0.07908
2026-07-29,9,0.02466,743.0,0.146768,0.043,742.6915,0.49728,0.02332,-0.41139,0.46475,0.08935
2026-07-30,10,0.0274,743.0,0.153485,0.043,742.7584,0.49982,0.021155,-0.40847,0.48989,0.09959
2026-07-31,11,0.03014,743.0,0.158192,0.043,742.8253,0.50191,0.01957,-0.40202,0.51378,0.10983
2026-08-07,18,0.04932,743.0,0.15469,0.043,743.2935,0.51118,0.015635,-0.31518,0.65684,0.18199
2026-08-14,25,0.06849,744.0,0.153737,0.043,743.7621,0.5045,0.013351,-0.27036,0.77421,0.24836
2026-08-21,32,0.08767,744.0,0.152167,0.043,744.231,0.51128,0.011916,-0.24072,0.87543,0.32086
2026-08-28,39,0.10685,745.0,0.153959,0.043,744.7001,0.5063,0.010669,-0.22287,0.96654,0.38571
2026-08-31,42,0.11507,745.0,0.150809,0.043,744.9013,0.50858,0.010494,-0.21224,1.00282,0.41693
2026-09-18,60,0.16438,746.0,0.152424,0.043,746.1093,0.51242,0.00868,-0.1842,1.19765,0.59498
2026-09-30,72,0.19726,747.0,0.147452,0.043,746.9158,0.51135,0.008188,-0.16619,1.31162,0.71046
2026-10-16,88,0.2411,748.0,0.152297,0.043,747.9925,0.5136,0.007166,-0.15711,1.4491,0.86569
2026-10-30,102,0.27945,750.0,0.155687,0.043,748.9358,0.50809,0.006512,-0.15021,1.56015,0.98721
2026-11-20,123,0.33699,750.0,0.160249,0.043,750.3531,0.51879,0.005752,-0.14283,1.71045,1.20434
2026-11-30,133,0.36438,751.0,0.159356,0.043,751.0289,0.51742,0.005561,-0.13777,1.7784,1.29575
2026-12-18,151,0.4137,750.0,0.163097,0.043,752.2469,0.53004,0.005086,-0.13371,1.89001,1.49491
2026-12-31,164,0.44932,755.0,0.160648,0.043,753.1278,0.50995,0.004967,-0.12714,1.9745,1.56173
2027-01-15,179,0.49041,755.0,0.16457,0.043,754.1455,0.51649,0.004636,-0.12528,2.06059,1.71519
2027-03-19,242,0.66301,760.0,0.173943,0.043,758.4349,0.51893,0.003764,-0.11577,2.39068,2.28205
2027-03-31,254,0.69589,760.0,0.172132,0.043,759.2547,0.5222,0.00371,-0.11288,2.44712,2.40558
2027-06-17,332,0.90959,765.0,0.182502,0.043,764.605,0.5286,0.003049,-0.10595,2.78772,3.10581
2027-06-30,345,0.94521,765.0,0.18085,0.043,765.5004,0.53139,0.003016,-0.10382,2.83886,3.23849
