type,strike,spot,t_days,bid,ask,last,yahoo_iv,bar_iv,bar_delta
call,5.0,377.49,149,374.2,377.3,376.15,5.7656277929687505,,
call,10.0,377.49,149,365.8,373.4,407.0,3.5810557348632814,,
call,15.0,377.49,149,391.15,398.45,414.98,0.0,,
call,20.0,377.49,149,372.45,378.95,390.39,7.037110578613281,,
call,25.0,377.49,149,353.4,357.0,385.0,2.60010115600586,,
call,30.0,377.49,149,362.6,369.2,363.03,4.6320842880249025,,
call,35.0,377.49,149,357.8,364.4,357.95,4.168950101318359,,
call,40.0,377.49,149,360.85,363.9,359.87,4.501225076599121,,
call,45.0,377.49,149,375.9,382.7,343.99,0.0,,
call,50.0,377.49,149,328.7,332.95,343.02,1.9536135131835937,,
call,75.0,377.49,149,304.55,308.6,342.7,1.621583923339844,,
call,80.0,377.49,149,299.5,303.75,315.81,1.5612814904785153,,
call,85.0,377.49,149,294.5,299.85,320.77,1.5445579412841794,,
call,90.0,377.49,149,304.05,309.7,312.52,2.2663617559814453,,
call,95.0,377.49,149,284.2,289.65,303.6,1.4144316387939455,,
call,100.0,377.49,149,280.25,284.1,272.87,1.3812286798095699,,
call,105.0,377.49,149,274.85,277.65,268.05,1.2686804144287107,,
call,110.0,377.49,149,269.35,274.75,266.95,1.2791784088134763,,
call,115.0,377.49,149,264.8,269.95,270.95,1.2559851654052734,,
call,120.0,377.49,149,259.75,265.0,263.38,1.2141152575683591,,
call,125.0,377.49,149,254.9,260.1,276.69,1.1812785076904297,,
call,130.0,377.49,149,250.7,255.95,266.39,1.186161295776367,,
call,135.0,377.49,149,244.35,250.4,261.59,1.0994307723999026,,
call,140.0,377.49,149,239.6,244.9,245.0,1.057743969116211,,
call,145.0,377.49,149,234.85,240.05,268.83,1.0341845166015626,,
call,150.0,377.49,149,231.7,234.2,230.05,1.0252734283447267,,
call,155.0,377.49,149,225.05,230.3,244.4,0.9804689453125001,,
call,160.0,377.49,149,220.9,225.8,256.66,0.9791872198486329,,
call,165.0,377.49,149,217.55,220.7,225.64,0.9798585998535156,,
call,170.0,377.49,149,213.4,216.5,215.13,0.980041703491211,,
call,175.0,377.49,149,207.5,211.3,208.11,0.9299323413085938,,
call,180.0,377.49,149,203.0,205.45,195.0,0.8947764428710936,,
call,185.0,377.49,149,197.6,202.2,251.4,0.8899547137451171,,
call,190.0,377.49,149,193.4,196.55,206.1,0.8646253771972656,,
call,195.0,377.49,149,188.35,191.65,241.42,0.8383194879150391,,
call,200.0,377.49,149,184.2,185.7,184.05,0.8103046313476561,,
call,205.0,377.49,149,179.1,182.2,231.92,0.8054218676757812,,
call,210.0,377.49,149,174.75,177.65,171.0,0.7952290985107422,,
call,215.0,377.49,149,169.95,172.1,167.07,0.7649559637451173,,
call,220.0,377.49,149,164.75,166.15,157.8,0.7246731634521484,,
call,225.0,377.49,149,160.45,163.0,198.33,0.7338588626098632,,
call,230.0,377.49,149,156.15,157.2,168.51,0.7084379742431641,,
call,235.0,377.49,149,151.8,153.05,151.9,0.7025176232910157,,
call,240.0,377.49,149,147.55,148.05,150.8,0.6873810559082032,,
call,245.0,377.49,149,143.15,143.7,138.5,0.6775544940185547,,
call,250.0,377.49,149,138.3,138.75,133.5,0.6562839547729493,,
call,260.0,377.49,149,129.4,129.8,132.9,0.6317785845947266,,
call,265.0,377.49,149,125.45,126.0,128.87,0.6300696173095703,,
call,270.0,377.49,149,121.25,121.6,122.33,0.6196327099609377,,
call,275.0,377.49,149,116.6,117.2,139.5,0.604892867126465,,
call,280.0,377.49,149,112.35,112.75,109.45,0.5929300961303713,,
call,285.0,377.49,149,108.4,109.1,118.56,0.5894511270141601,,
call,290.0,377.49,149,104.55,104.9,103.0,0.5815471533203125,,
call,295.0,377.49,149,100.95,101.55,93.39,0.5812419805908204,,
call,300.0,377.49,149,96.5,97.1,99.82,0.5657697232055664,,
call,305.0,377.49,149,93.8,94.3,93.75,0.5738262832641602,,
call,310.0,377.49,149,89.5,89.9,89.09,0.5587202331542969,,
call,315.0,377.49,149,85.5,86.0,86.92,0.5486190158081056,,
call,320.0,377.49,149,82.0,82.55,85.74,0.5441024594116212,,
call,325.0,377.49,149,79.15,79.7,79.0,0.546528582611084,,
call,330.0,377.49,149,75.75,76.15,69.45,0.5402267657470705,,
call,335.0,377.49,149,73.0,73.5,71.08,0.5423934921264649,,
call,340.0,377.49,149,69.55,69.95,68.05,0.5342148629760742,,
call,345.0,377.49,149,65.95,66.55,65.05,0.52539537109375,,
call,350.0,377.49,149,63.7,63.95,63.55,0.5279588220214844,,
call,355.0,377.49,149,60.5,61.05,58.79,0.5226182992553711,,
call,360.0,377.49,149,58.15,58.4,56.09,0.5224962301635742,,
call,365.0,377.49,149,55.15,55.7,55.89,0.5177507942199708,,
call,370.0,377.49,149,52.9,53.25,52.21,0.5175524319458008,,
call,375.0,377.49,149,50.15,50.4,50.87,0.5117541500854492,,
call,380.0,377.49,149,47.95,48.2,48.75,0.5114794946289063,,
call,385.0,377.49,149,45.9,46.2,45.15,0.5122119091796875,,
call,390.0,377.49,149,43.65,43.9,43.95,0.5095416477966308,,
call,395.0,377.49,149,41.25,41.85,40.46,0.5066272482299804,,
call,400.0,377.49,149,39.75,39.95,40.0,0.5083972500610351,,
call,405.0,377.49,149,38.0,38.3,37.1,0.5094043200683593,,
call,410.0,377.49,149,35.9,36.15,34.89,0.5052539709472657,,
call,415.0,377.49,149,34.05,34.4,34.25,0.5037738832092287,,
call,420.0,377.49,149,32.8,33.0,32.7,0.506566213684082,,
call,425.0,377.49,149,31.2,31.45,30.35,0.5060474200439453,,
call,430.0,377.49,149,29.7,29.9,29.61,0.5053760400390624,,
call,435.0,377.49,149,27.8,28.0,28.4,0.5000202586364746,,
call,440.0,377.49,149,26.9,27.05,27.03,0.5045062977600099,,
call,445.0,377.49,149,25.55,25.75,25.3,0.504063797302246,,
call,450.0,377.49,149,24.35,24.55,24.22,0.5043689700317383,,
call,455.0,377.49,149,23.15,23.45,23.0,0.5046741427612305,,
call,460.0,377.49,149,21.8,22.2,21.65,0.5026447441101074,,
call,465.0,377.49,149,20.95,21.15,20.85,0.504063797302246,,
call,470.0,377.49,149,19.7,20.15,19.95,0.5028888822937012,,
call,480.0,377.49,149,17.85,18.1,18.11,0.5024158645629884,,
call,490.0,377.49,149,16.1,16.3,16.0,0.5019581054687501,,
call,500.0,377.49,149,14.6,14.8,14.99,0.5030262100219728,,
call,510.0,377.49,149,13.35,13.55,13.59,0.5056201782226561,,
call,520.0,377.49,149,12.35,12.5,11.95,0.5098010446166993,,
call,530.0,377.49,149,11.15,11.3,11.0,0.509892596435547,,
call,540.0,377.49,149,10.15,10.3,10.35,0.5113879428100586,,
call,550.0,377.49,149,9.2,9.4,9.48,0.512578116455078,,
call,560.0,377.49,149,8.45,8.55,8.32,0.5144396701049804,,
call,570.0,377.49,149,7.8,8.0,7.85,0.5186205364990235,,
call,580.0,377.49,149,7.2,7.3,7.2,0.5207872628784179,,
call,590.0,377.49,149,6.65,6.75,6.64,0.5237779556274414,,
call,600.0,377.49,149,6.1,6.2,6.14,0.5257005438232423,,
call,610.0,377.49,149,5.65,5.75,5.95,0.5287522711181643,,
call,620.0,377.49,149,5.2,5.35,5.06,0.5314377911376953,,
call,630.0,377.49,149,4.9,5.0,4.85,0.5356491748046875,,
call,640.0,377.49,149,4.45,4.65,4.85,0.5371750384521485,,
call,650.0,377.49,149,4.2,4.35,4.3,0.5412033184814455,,
call,660.0,377.49,149,3.95,4.1,4.25,0.5452315985107423,,
call,670.0,377.49,149,3.7,3.8,3.7,0.5479171185302736,,
call,680.0,377.49,149,3.45,3.55,3.57,0.5506636730957033,,
call,690.0,377.49,149,3.25,3.4,2.87,0.5551802294921876,,
call,700.0,377.49,149,3.05,3.15,2.95,0.5574995422363282,,
call,710.0,377.49,149,2.87,2.95,2.9,0.5604292004394531,,
call,720.0,377.49,149,2.75,2.83,2.73,0.5653729986572267,,
call,730.0,377.49,149,2.6,2.69,2.6,0.5689740368652343,,
