strategy,variant,qty,kind,expiration,t_days,strike,bid,ask,mid,iv,delta,gamma,theta,vega
A) Calendar — sell rich 9d vol,call,-1,C,2026-07-31,9,377.5,15.45,15.65,15.55,0.649905,0.52438,0.010336,-0.87372,0.23604
A) Calendar — sell rich 9d vol,call,1,C,2026-12-18,149,375.0,50.15,50.4,50.275,0.481835,0.5919,0.003341,-0.17183,0.93655
A) Calendar — sell rich 9d vol,put,-1,P,2026-07-31,9,377.5,13.4,13.6,13.5,0.579587,-0.47733,0.011593,-0.73739,0.2361
A) Calendar — sell rich 9d vol,put,1,P,2026-12-18,149,375.0,39.75,40.0,39.875,0.467052,-0.40897,0.003449,-0.12398,0.93703
B) Calendar — sell 37d vs 149d,call,-1,C,2026-08-28,37,375.0,25.65,26.35,26.0,0.501372,0.55906,0.006548,-0.34309,0.47422
B) Calendar — sell 37d vs 149d,call,1,C,2026-12-18,149,375.0,50.15,50.4,50.275,0.481835,0.5919,0.003341,-0.17183,0.93655
B) Calendar — sell 37d vs 149d,put,-1,P,2026-08-28,37,375.0,20.1,20.35,20.225,0.466495,-0.4411,0.007038,-0.27696,0.47424
B) Calendar — sell 37d vs 149d,put,1,P,2026-12-18,149,375.0,39.75,40.0,39.875,0.467052,-0.40897,0.003449,-0.12398,0.93703
C) Bullish diagonal — long 149d / short 9d OTM,call,1,C,2026-12-18,149,375.0,50.15,50.4,50.275,0.481835,0.5919,0.003341,-0.17183,0.93655
C) Bullish diagonal — long 149d / short 9d OTM,call,-1,C,2026-07-31,9,407.5,5.0,5.1,5.05,0.634153,0.23955,0.008262,-0.6586,0.18408
C) Bullish diagonal — long 149d / short 9d OTM,put,1,P,2026-12-18,149,375.0,39.75,40.0,39.875,0.467052,-0.40897,0.003449,-0.12398,0.93703
C) Bullish diagonal — long 149d / short 9d OTM,put,-1,P,2026-07-31,9,407.5,32.05,34.35,33.2,0.553286,-0.79527,0.008657,-0.47801,0.16829
