expiry,t_days,T_years,atm_strike,atm_iv,rate,forward,delta,gamma,theta_day,vega_pt,rho_pct
2026-07-24,2,0.00548,377.5,1.044261,0.043,377.5789,0.51649,0.01366,-2.92937,0.11138,0.01004
2026-07-27,5,0.0137,377.5,0.741033,0.043,377.7124,0.51988,0.01217,-1.32609,0.17604,0.02508
2026-07-29,7,0.01918,377.5,0.674008,0.043,377.8014,0.52202,0.011305,-1.02406,0.20824,0.03507
2026-07-31,9,0.02466,377.5,0.648259,0.043,377.8904,0.52434,0.010363,-0.87156,0.23604,0.04498
2026-08-07,16,0.04384,380.0,0.548991,0.043,378.2022,0.50647,0.009193,-0.56145,0.31526,0.07659
2026-08-14,23,0.06301,380.0,0.518772,0.043,378.5142,0.51397,0.00811,-0.4467,0.3778,0.11035
2026-08-21,30,0.08219,380.0,0.490846,0.043,378.8265,0.51929,0.007501,-0.37345,0.43124,0.14416
2026-08-28,37,0.10137,380.0,0.488613,0.043,379.139,0.5252,0.00678,-0.33661,0.47852,0.17765
2026-09-18,58,0.1589,380.0,0.477688,0.043,380.0782,0.53835,0.005524,-0.26663,0.59754,0.27737
2026-10-16,86,0.23562,380.0,0.472973,0.043,381.334,0.55174,0.004564,-0.21972,0.72485,0.40802
2026-11-20,121,0.33151,385.0,0.487509,0.043,382.9096,0.54813,0.003738,-0.19292,0.86077,0.54927
2026-12-18,149,0.40822,385.0,0.483928,0.043,384.1747,0.55869,0.003381,-0.17398,0.95176,0.67306
2027-01-15,177,0.48493,390.0,0.483384,0.043,385.4441,0.55306,0.003112,-0.16081,1.03942,0.77697
2027-03-19,240,0.65753,390.0,0.4907,0.043,388.3155,0.57459,0.002609,-0.14127,1.19976,1.03929
2027-06-17,330,0.90411,390.0,0.498538,0.043,392.4546,0.5988,0.002161,-0.12301,1.3878,1.39551
