type,strike,spot,t_days,bid,ask,last,volume,open_interest,yahoo_iv,bar_iv,bar_delta,bar_theta,bar_gamma,bar_vega
call,25.0,123.755,151,96.9,100.6,155.8,1.0,0.0,1.7182631274414062,,,,,
call,45.0,123.755,151,76.5,81.1,105.45,1.0,1.0,0.6054726953125001,,,,,
call,50.0,123.755,151,71.5,76.6,87.05,2.0,1.0,0.70117486328125,,,,,
call,60.0,123.755,151,62.6,67.5,75.5,4.0,3.0,0.7617211328125001,,,,,
call,75.0,123.755,151,51.6,54.9,51.36,1.0,21.0,0.8131122204589842,,,,,
call,80.0,123.755,151,48.6,51.1,49.7,15.0,92.0,0.8288591333007811,,,,,
call,85.0,123.755,151,44.7,47.4,43.68,1.0,3.0,0.8107929077148437,,,,,
call,90.0,123.755,151,41.6,44.1,43.08,3.0,78.0,0.8143329113769531,,,,,
call,95.0,123.755,151,38.1,40.7,40.73,6.0,15.0,0.7984639294433593,,,,,
call,100.0,123.755,151,35.9,37.6,36.0,26.0,1286.0,0.8085346295166016,,,,,
call,105.0,123.755,151,32.9,34.7,34.07,4.0,9.0,0.7993184130859375,,,,,
call,110.0,123.755,151,30.8,31.7,30.99,3.0,70.0,0.7985859985351562,,,,,
call,115.0,123.755,151,27.7,29.5,27.85,26.0,221.0,0.7885763330078125,,,,,
call,120.0,123.755,151,25.9,27.1,25.7,21.0,195.0,0.7918111639404297,,,,,
call,125.0,123.755,151,24.1,24.8,24.5,93.0,120.0,0.7913228875732423,,,,,
call,130.0,123.755,151,22.1,22.8,22.45,20.0,500.0,0.7876608148193358,,,,,
call,135.0,123.755,151,20.4,20.9,20.6,42.0,464.0,0.7858908129882812,,,,,
call,140.0,123.755,151,18.8,19.2,18.45,28.0,577.0,0.784731156616211,,,,,
call,145.0,123.755,151,17.3,17.5,16.9,131.0,408.0,0.7811911529541016,,,,,
call,150.0,123.755,151,15.8,16.1,16.1,254.0,837.0,0.7786887365722657,,,,,
call,155.0,123.755,151,14.5,14.8,14.7,221.0,474.0,0.7775290802001953,,,,,
call,160.0,123.755,151,13.4,13.6,13.45,150.0,2311.0,0.777895287475586,,,,,
