expiry,t_days,T_years,atm_strike,atm_iv,rate,forward,delta,gamma,theta_day,vega_pt,rho_pct
2026-07-24,4,0.01096,123.0,0.812816,0.043,122.8029,0.50945,0.038186,-0.52758,0.05125,0.00641
2026-07-31,11,0.03014,123.0,0.763501,0.043,122.9042,0.52408,0.024477,-0.3013,0.08485,0.01745
2026-08-14,25,0.06849,125.0,0.916606,0.043,123.107,0.52246,0.013527,-0.24084,0.12795,0.03647
2026-08-21,32,0.08767,125.0,0.895593,0.043,123.2086,0.53115,0.012219,-0.20852,0.14455,0.04649
2026-08-28,39,0.10685,125.0,0.897462,0.043,123.3103,0.53994,0.011024,-0.18945,0.15926,0.0563
2026-09-18,60,0.16438,125.0,0.826675,0.043,123.6157,0.55344,0.00961,-0.14169,0.19675,0.08578
2026-10-16,88,0.2411,125.0,0.782476,0.043,124.0241,0.56817,0.008336,-0.11139,0.23692,0.12403
2026-11-20,123,0.33699,125.0,0.776549,0.043,124.5366,0.58596,0.007042,-0.09356,0.27764,0.16924
2026-12-18,151,0.4137,125.0,0.751272,0.043,124.9481,0.59512,0.006534,-0.08196,0.30596,0.20534
2027-01-15,179,0.49041,125.0,0.727256,0.043,125.3609,0.60269,0.006169,-0.07313,0.3315,0.2411
2027-02-19,214,0.5863,125.0,0.728984,0.043,125.8789,0.61472,0.00558,-0.06687,0.35934,0.28222
2027-03-19,242,0.66301,125.0,0.725721,0.043,126.2948,0.62282,0.005237,-0.06252,0.37968,0.31454
2027-06-17,332,0.90959,130.0,0.706283,0.043,127.641,0.62157,0.004599,-0.05262,0.44516,0.40701
